scenario_name,grid_capacity,load_shift_fraction,pue,wue,total_cost_aud_pa,gen_capacity_mw,link_capacity_mw,store_capacity_mwh,dispatch_mwh_gen_nem,dispatch_mwh_gen_water_supply,dispatch_mwh_gen_gas_supply,dispatch_mwh_gen_ppa_solar_farm,dispatch_mwh_gen_ppa_wind_farm,dispatch_mwh_link_grid_connection,dispatch_mwh_link_facility_to_compute,dispatch_mwh_link_ccgt
DataCentre-Alpha,0,0.0,1.34,0.012,58662611.17850718,1000.0,0.0,1000000000.0,0.0,1212916.517647059,1721505.8823529407,0.0,0.0,0.0,877968.0000000001,1721505.8823529407
DataCentre-Alpha,100,0.0,1.34,0.012,58662611.17850718,1000.0,100.0,1000000000.0,0.0,1212916.517647059,1721505.8823529407,0.0,0.0,0.0,877968.0000000001,1721505.8823529407
DataCentre-Alpha,30,0.0,1.34,0.012,58662611.17850718,1000.0,30.0,1000000000.0,0.0,1212916.517647059,1721505.8823529407,0.0,0.0,0.0,877968.0000000001,1721505.8823529407
DataCentre-Alpha,150,0.0,1.34,0.012,58662611.17850718,1000.0,150.0,1000000000.0,0.0,1212916.517647059,1721505.8823529407,0.0,0.0,0.0,877968.0000000001,1721505.8823529407
DataCentre-Alpha,150,0.001,1.34,0.012,58659733.2458327,1000.0,150.0,1000000000.0,0.0,1212174.945882353,1720446.494117647,551.8825919223966,2.258946539141844,554.1415384615384,877968.0000000001,1720446.494117647
DataCentre-Alpha,30,0.001,1.34,0.012,58659733.24583269,1000.0,30.0,1000000000.0,0.0,1212174.945882353,1720446.494117647,551.8825919223966,2.2589465391418435,554.1415384615384,877968.0,1720446.494117647
DataCentre-Alpha,100,0.001,1.34,0.012,58659733.24583269,1000.0,100.0,1000000000.0,0.0,1212174.945882353,1720446.494117647,551.8825919223966,2.2589465391418435,554.1415384615384,877968.0,1720446.494117647
DataCentre-Alpha,0,0.001,1.34,0.012,58662611.17850718,1000.0,0.0,1000000000.0,0.0,1212916.517647059,1721505.8823529412,0.0,0.0,0.0,877968.0000000001,1721505.8823529412
DataCentre-Alpha,30,0.01,1.34,0.012,58633831.851762064,1000.0,30.0,1000000000.0,0.0,1205500.8,1710912.0,5518.8259192239675,22.589465391418447,5541.415384615386,877968.0,1710912.0
DataCentre-Alpha,150,0.01,1.34,0.012,58633831.851762064,1000.0,150.0,1000000000.0,0.0,1205500.8,1710912.0,5518.8259192239675,22.589465391418447,5541.415384615386,877968.0,1710912.0
DataCentre-Alpha,0,0.01,1.34,0.012,58662611.17850718,1000.0,0.0,1000000000.0,0.0,1212916.517647059,1721505.8823529412,0.0,0.0,0.0,877968.0000000001,1721505.8823529412
DataCentre-Alpha,100,0.01,1.34,0.012,58633831.851762064,1000.0,100.0,1000000000.0,0.0,1205500.7999999998,1710912.0,5518.8259192239675,22.589465391418447,5541.415384615386,877968.0,1710912.0
DataCentre-Alpha,100,0.1,1.34,0.012,58374817.91105611,1000.0,100.0,1000000000.0,0.0,1138759.3411764707,1615567.0588235296,55188.25919223967,225.89465391418443,55414.15384615385,877968.0000000001,1615567.0588235296
DataCentre-Alpha,0,0.1,1.34,0.012,58662611.17850718,1000.0,0.0,1000000000.0,0.0,1212916.517647059,1721505.8823529412,0.0,0.0,0.0,877968.0000000001,1721505.8823529412
DataCentre-Alpha,150,0.1,1.34,0.012,58374817.91105611,1000.0,150.0,1000000000.0,0.0,1138759.3411764707,1615567.0588235296,55188.25919223967,225.89465391418443,55414.15384615385,877968.0000000001,1615567.0588235296
DataCentre-Alpha,30,0.1,1.34,0.012,58374817.91105611,1000.0,30.0,1000000000.0,0.0,1138759.3411764707,1615567.0588235296,55188.25919223967,225.89465391418443,55414.153846153844,877968.0,1615567.0588235296
